Book_name,Description,Category,Tags,Rating
(C++),no-description,"Categories: Best Selling, Books Under 750PKR, Emerging Technologies, Flash Sale, Gufhtugu Publications, Our Authors, Technical, Zeeshan ul Hassan Usmani",Tag: Programming books,no-rating
AI for Babies & Toddlers,"Author: Dr. Handeep Kaur Dhoot
Price: 300/-","Categories: Books Under 750PKR, Children's Book, Children's Books, Data Science, Emerging Technologies, English Literature, Gufhtugu Publications, International, Mix, Technical",no-tag,no-rating
Aleem Ahmed Books Set – علیم احمد کتب سیٹ,"by Aleem Ahmed (Author)
Customers also viewed :

Pakistan I Still Love You
Sins Interrupted

Language : Urdu
Total Books : 4
Discounted Price : 1,900/-","Categories: Aleem Ahmed, Book Sets, Emerging Technologies, Gufhtugu Publications, Our Authors","Tags: aleem ahmed book, emerging technologies, ghufhtugu publication, Happy New Year Sale",no-rating
Artificial Intelligence,"آرٹی فیشل انٹیلی جینس (مصنوعی ذہانت) کیا ہے؟ ایک عام آدمی اس شعبہ کے بارے میں کیسے جان سکتا ہے؟ کیا مصنوعی ذہانت ہماری روز مرہ کی نوکریاں ختم کر دیگی ، کیا ہم کمپیوٹرز کے محتاج ہو جاینگے، کیا کمپیوٹر خود سے سوچنے سمجھنے کے قابل ہوجائیں گے، کیا انھیں معلوم ہوگا کہ وہ کیا کررہے ہیں، کیا وہ نئے اور پیچیدہ حالات میں خود سے فیصلہ کرسکیں گے، کیا کمپیوٹر اپنے آپکو خود ٹھیک کرسکیں گے، ایسے میں کیا وہ احکامات کی پابندی کریں گے، اخلاقیات اور معاشرتی ضابطوں کی پاسداری کریں گے؟ یہ ہیں وہ سوالات جن کے جوابات اے آئ جاننے میں سرگرداں ہے۔
یہ کتاب آپکو مصنوعی ذہانت سے روشناس کراۓ گی اور اس شعبہ میں آگے بڑھنے کی رہنمائی کرے گی. اردو میں اپنی نوعیت کی یہ پہلی کتاب ہے جو پانچویں جماعت سے لے کر گریجویٹ تک تمام لوگوں کے لئے یکساں مفید ہے. مستقبل مصنوعی ذہانت کا ہے اور آپ اسے سمجھے بغیر آگے نہیں بڑھ سکتے.
اپنی آرا اور تنقید سے ضرور مطلع فرمائیے گا، امید ہے یہ کتاب آپکو ضرور پسند آئے گی.","Categories: Best Selling, Books Under 750PKR, Emerging Technologies, Flash Sale, Gufhtugu Publications, Sana Rasheed, Technical, Zeeshan ul Hassan Usmani","Tags: AI book in Urdu, Artificial Intelligence book in Urdu, what is artificial intelligence?",Rated 4.17 out of 5 based on 6 customer ratings
Artificial Intelligence(AI) for the 5th Grader,"Author: Zeeshan Ul Hassan Usmani, Sana Rasheed","Categories: Books Under 750PKR, Data Science E, Emerging Technologies, English Literature, Gufhtugu Publications, Our Authors, Sana Rasheed, Technical, Zeeshan ul Hassan Usmani","Tags: Artificial Intelligence, emerging technologies, what is artificial intelligence?",no-rating
"Blockchain, Cryptocurrency And Bitcoin",بلاک چین، کرپٹو کرنسی اور بٹ کوئین,"Categories: Emerging Technologies, Flash Sale, Gufhtugu Publications, Mix, Our Authors, Sana Rasheed, Technical, Urdu Literature, Zeeshan ul Hassan Usmani","Tags: and Bitcoin Book, Blockchain, Cryptocurrency, Zeeshan Usmani, بلاک چین اور کرپٹو کرنسی",Rated 4.75 out of 5 based on 4 customer ratings
Bosnia Pe Kya Guzri?- بوسنیا پر کیا گذری؟,بوسنیا میں مسلم نسل کشی کے 22 ناقابل فراموش انسانیت سوز واقعات,"Categories: Best Selling, Books Under 750PKR, English Literature, Gufhtugu Publications, Mix","Tags: Bosnia, Suhail Yusuf, Vahida",no-rating
Breakthrough by Dr Jamila Saleem,no-description,"Categories: Books Under 750PKR, English Literature, Gufhtugu Publications, Jamila Saleem, Our Authors",Tag: Love Relationships,no-rating
Bug Bounty for Dummies,"Author: Shahmeer Amir
Pages: 265
Language: English","Categories: Educational E, Emerging Technologies, English Literature, Gufhtugu Publications, Mix, Our Authors, Shahmeer Amir, Technical",Tag: Hacking,no-rating
Dasht e Wafa,no-description,"Categories: Best Selling, Books Under 750PKR, Flash Sale, Gufhtugu Publications, Molana Abdul Rehman, Our Authors, Poetry U, Urdu Literature",no-tag,no-rating
